بسم	bism
الرحمن	arraḥmān
الرحيم	arraḥīm
الحمد لله	al-ḥamdu lillāh
رب	rabb
العالمين	al-‘ālamīn
مالك	mālik
يوم	yaum
الدين	ad-dīn
إياك	iyyāk
نعبد	na’bud
و	wa
نستعين	nasta’īn
اهدنا	ihdinā
الصراط	aṣ-ṣirāṭ
المستقيم	al-mustaqīm
صراط	ṣirāṭ 
الذين	allażīn
أنعمت	an’amt
عليهم	‘alaihim
غير	gair
المغضوب	al-magḍụb
ولا الضالين	wa laḍ-ḍāllīn
ذلك	żālik
الكتاب	al-kitāb
لا ريب	lā raib
فيه	fīh
هدى	hudā
للمتقين	lil-muttaqīn
يؤمنون	yu`minụn
بالغيب	bil-gaib
يقيمون	yuqīmụn
الصلاة	aṣ-ṣalāh
مما	mimmā
رزقناهم	razaqnāhum
ينفقون	yunfiqụn
يؤمنون	yu`minụn
بما	bimā
أنزل	unzil
إليك	ilaik
وما	wa mā
من قبلك	ming qablik
وبالآخرة	wa bil-ākhirah
هم	hum
يوقنون	yụqinụn
أولئك	ulā`ik
على	‘alā
من ربهم	mir rabbihim
المفلحون	al-mufliḥụn
إن الذين	innallażīn
كفروا	kafarụ
سواء	sawā`
أأنذرتهم	a anżartahum
أم لم	am lam
تنذرهم	tunżir-hum
لا يؤمنون	lā yu`minụn
ختم الله	khatamallāh
قلوبهم	qulụbihim
سمعهم	sam’ihim
أبصارهم	abṣārihim
غشاوة	gisyāwah
ولهم	wa lahum
عذاب	‘ażāb
عظيم	‘aẓīm
ومن الناس	wa minan-nās
من يقول	may yaqụl
آمنا	āmannā
بالله	billāh
وباليوم	wa bil-yaum
الآخر	al-ākhir
وما هم	wa mā hum
بمؤمنين	bimu`minīn
يخادعون الله	yukhādi’ụnallāh
والذين	wallażīn
آمنوا	āmanụ
وما يخدعون	wa mā yakhda’ụn
إلا أنفسهم	illā anfusahum
وما يشعرون	wa mā yasy’urụn
في قلوبهم	fī qulụbihim
مرض	maraḍ
فزادهم الله	fa zādahumullāh
مرضا	maraḍā
أليم	alīm
كانوا	kānụ
يكذبون	yakżibụn
وإذا	wa iżā
قيل لهم	qīla lahum
لا تفسدوا	lā tufsidụ
في الأرض	fil arḍ
قالوا	qālụ
إنما	innamā
نحن	naḥn
مصلحون	muṣliḥụn
ألا إنهم	alā innahum
هم المفسدون	humul-mufsidụn
ولكن	wa lākin
لا يشعرون	lā yasy’urụn
كما	kamā
آمن الناس	āmanan-nās
أنؤمن	a nu`min
آمن السفهاء	āmanas-sufahā`
هم السفهاء	humus-sufahā`
لا يعلمون	lā ya’lamụn
السفهاء	as-sufahā`
لقوا	laqu
آمنا	āmannā
خلوا 	khalau
إلى	ilā
شياطينهم	syayāṭīnihim
إنا	innā
معكم	ma’akum
مستهزئون	mustahzi`ụn
الله	allāh
يستهزئ	yastahzi`
بهم	bihim
ويمدهم	wa yamudduhum
في طغيانهم	fī ṭugyānihim
يعمهون	ya’mahụn
الضلالة	aḍ-ḍalālah
بالهدى	bil-hudā
فما	fa mā
ربحت	rabiḥat
تجارتهم	tijāratuhum
مهتدين	muhtadīn
مثلهم	maṡaluhum
كمثل الذي	kamaṡalillāżi
نارا	nārā
فلما	fa lammā
أضاءت	aḍā`at
ما حوله	mā ḥaulah
ذهب الله 	żahaballāh
بنورهم	binụrihim
وتركهم	wa tarakahum
في ظلمات	fī ẓulumāt
لا يبصرون	lā yubṣirụn
صم	ṣumm
بكم	bukm
